species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,date,year,month,day,day_of_year
Adelie,Torgersen,38.9,17.8,181,3625,female,2007-03-25,2007,March,25,84
Gentoo,Biscoe,47.5,15,218,4950,female,2009-01-16,2009,January,16,16
Adelie,Torgersen,40.6,19,199,4000,male,2009-09-17,2009,September,17,260
Adelie,Biscoe,34.5,18.1,187,2900,female,2008-05-19,2008,May,19,140
Adelie,Torgersen,39.2,19.6,195,4675,male,2007-01-25,2007,January,25,25
Chinstrap,Dream,50.7,19.7,203,4050,male,2009-01-25,2009,January,25,25
Chinstrap,Dream,52.2,18.8,197,3450,male,2009-06-06,2009,June,6,157
Chinstrap,Dream,49.5,19,200,3800,male,2008-03-17,2008,March,17,77
Adelie,Dream,36,18.5,186,3100,female,2007-01-15,2007,January,15,15
Gentoo,Biscoe,46.6,14.2,210,4850,female,2008-09-20,2008,September,20,264
Gentoo,Biscoe,49.1,14.5,212,4625,female,2009-11-18,2009,November,18,322
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008-11-16,2008,November,16,321
Gentoo,Biscoe,46.8,15.4,215,5150,male,2007-03-05,2007,March,5,64
Adelie,Dream,39.6,18.8,190,4600,male,2007-09-10,2007,September,10,253
Gentoo,Biscoe,46.1,13.2,211,4500,female,2007-09-22,2007,September,22,265
Adelie,Torgersen,44.1,18,210,4000,male,2009-02-10,2009,February,10,41
Chinstrap,Dream,51.3,19.2,193,3650,male,2007-12-20,2007,December,20,354
Gentoo,Biscoe,42.7,13.7,208,3950,female,2008-11-21,2008,November,21,326
Chinstrap,Dream,50.9,17.9,196,3675,female,2009-09-19,2009,September,19,262
Adelie,Torgersen,46,21.5,194,4200,male,2007-06-07,2007,June,7,158
Chinstrap,Dream,55.8,19.8,207,4000,male,2009-12-01,2009,December,1,335
Gentoo,Biscoe,NA,14.9,221,5300,male,2008-10-23,2008,October,23,297
Chinstrap,Dream,50.6,19.4,193,3800,male,2007-02-05,2007,February,5,36
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008-01-07,2008,January,7,7
Adelie,Torgersen,37.2,19.4,184,3900,male,2008-12-11,2008,December,11,346
Gentoo,Biscoe,49,16.1,216,5550,male,2007-09-24,2007,September,24,267
Gentoo,Biscoe,45.8,14.2,219,4700,female,2008-01-25,2008,January,25,25
